"X,Y"
"Apple щедро вознаграждает исследователей безопасности которые помогают исправить уязвимости в их продуктах. Однако все чаще их обвиняют в недобросовестном отношении к исследователям нашедших уязвимости на их платформах.,Информационная безопасность; "
"В GoogleDrive for Desktop не работает SSL decryption. При этом запущенный пакет дает ошибку синхронизации.,Информационная безопасность; "
"В сегодняшнем обзоре полезных инструментов для анализа изображений и видео мы собрали для вас самые популярные из них.,расширения; Информационная безопасность; Обработка изображений; Научно-популярное; "
"В этой статье я расскажу о самых распространенных атаках с помощью социальной инженерии а также рассмотрю способы маскировки вредоносных нагрузок.,социальная инженерия; фишинг; фишинговый сайт; фишинговые ссылки; фишинговые атаки; фишинг письма; фишинговые сайты; Информационная безопасность; "
"Взлоумышленники могут использовать встроенные функции PowerShell для выполнения произвольных команд в контексте с повышенными правами (правами Администратора). В этом случае они могут получить доступ внутрь инфраструктуры и повысить привилегии исполняя вредоносный контент запускаемый профилями PowerShell.,Информационная безопасность; "
"На прошлой неделе я потерял свой аккаунт в телеграмм. Спустя полторы недели после отбытия наказания в РБ в отношении меня ворвался ОМОН и уголовный розыск МВД. По факту обыск был поверхностным и главной причиной прихода была текущая политика по запугиванию тех кто выполняли роли независимых наблюдателей на выборах 2020.,безопасность; информационная безопасность; беларусь; Информационная безопасность; "
"В сегодняшнем обзоре обзора бесплатных и доступных инструментов аналитики соцсетей мы рассмотрим бесплатные сервисы позволяющие узнать насколько вы уязвимы в современном мире.,социальные сети; информационная безопасность; Информационная безопасность; Научно-популярное; Социальные сети и сообщества; "
"Взлома RSA-PSS — одна из самых популярных криптографических уязвимостей в современном мире. Её можно было бы заметить раньше если бы она не была заблокирована в 2021 году.,инфобез; программирование; с++; читальный зал; тестирование; статический анализ; статический анализ кода; проверки; диапазоны; Информационная безопасность; Программирование; Читальный зал; "
"В сегодняшнем обзоре мы рассмотрим криминалистическую экспертизу дампа памяти.NET в котором мы собираем информацию о том какие действия атакующие предпринимали на этой особо ценной машине.,кибербезопасность; иб; криминалистическая экспертиза; Информационная безопасность; "
"В сегодняшнем обзоре мы рассмотрим несколько способов компрометации домена которые позволят защитить хост от скомпрометации.,Информационная безопасность; "
"В преддверии новогодних праздников мы подвели итоги кибербезопасности 2021 года. В этом году киберпреступники обрушились на правительственные организации и государственные структуры а также на частный бизнес и головы простых граждан.,информационная безопасность; кибербезопасность; итоги; киберинцеденты; взломы; утечки; кибератаки; хакеры; Информационная безопасность; Антивирусная защита; "
"В библиотеке журналирования Log4j обнаружена новая уязвимость CVE-2021-44832 эксплуатация которой позволяет злоумышленнику удаленно выполнить код на атакуемой системе создав вредоносную конфигурацию с помощью JDBC Appender. Злоумышленники атакуют организации с помощью платформы MSBuild.,Информационная безопасность; "
"В преддверии очередной атаки злоумышленников на ядро Debian я решил поделиться своим опытом предотвращения бага блокировки ядра Linux. В этом посте я расскажу как я использовал эксплойт препятствующий или усложняющий использование подобных проблем злоумышленниками.,эксплойты; Информационная безопасность; Софт; "
"В канун Нового года и Рождества мы попросили наших читателей поделиться личным топом ИБ-факапов которые особенно впечатлили их за год. В новогоднем выпуске – «подстава» от Apple Watch на полмиллиона фейковый Том Круз и рабочий «манифест» который не на шутку испугал руководителей.,иб; новости безопасности; утечки информации; дайджест сёрчинформ; Информационная безопасность; "
"В этой статье я расскажу как создать полноценный сервис для аутентификации и авторизации с помощью Auth0. Исходный код проекта который мы будем разрабатывать находится здесь.,аутентификация; авторизация; Информационная безопасность; Разработка веб-сайтов; "
"Спутниковая фотография — один из самых популярных источников информации для гражданских разведчиков. Спутниковые снимки могут быть использованы для того чтобы обнаружить опасные для общества объекты как тот стелс-бомбардировщик на спутниковых снимках Google Maps. В 2018 году компания Planet Labs запустила спутники с радиолокационным синтезированием апертуры что может привести к совершенно неожиданным последствиям.,государственная монополия; гражданская разведка; детективные агентства; спутниковые фотографии; Информационная безопасность; Краудсорсинг; "
"Попытка установить шлагбаум у соседнего дома в центре Москвы показала что практически все действия заблокированы кроме просмотра стрима с камеры встроенной в шлагбаума и получения состояния оборудования.,шлагбаумы; инфраструктура; пентест; уязвимость; видеонаблюдение; Информационная безопасность; "
"В сегодняшнем обзоре мы расскажем о том как обеспечить безопасность финансовых транзакций в современных условиях а также о том какие платёжные шлюзы могут защитить от киберпреступников.,тестирование ПО; платежная система; платежи онлайн; платежный шлюз; платежи; финтех; финтех-проекты; банковская безопасность; банковские приложения; банковские технологии; Информационная безопасность; Тестирование веб-сервисов; Тестирование мобильных приложений; "
"В рамках мероприятий по предоставлению в 2022 году услуг защищенной передачи данных на магистральных сетях МТС мы протестировали техническое решение по защищенной передаче данных со скоростью до 100 Гбит/ сек – с использованием программно-аппаратного комплекса «Квазар-100». Испытания показали готовность осуществлять защищенную передачу данных на скоростях магистральных каналов с минимальной потерей пропускной способности – около 0001%.,сетевое оборудование; Информационная безопасность; Криптография; Сетевое оборудование; "
"Уязвимость Apache Log4j стала причиной огромной волны атак на веб-серверы по всему миру на протяжении декабря 2021 года. Эксперты Acronis в области киберзащиты провели информационный вебинар для глобального сообщества Acronis на английском языке.,Информационная безопасность; Антивирусная защита; "
"В сегодняшнем обзоре я расскажу о методе который поможет привести в порядок все ваши дела от самых крупных и важных до тех что еще только появились в голове.,списки задач; продуктивность; планирование; календарь; организация дел; управление проектами; Интерфейсы; Управление продуктом; Управление проектами; Читальный зал; "
"В преддверии нового учебного года мы поговорим о том как правильно заговорить на английском.,языковой барьер; английский онлайн; навыки общения; разговорный английский; изучение языков; изучение английского; Образование за рубежом; Читальный зал; Копирайт; Изучение языков; "
"Российский программист – один из самых известных и любимых людей в мире. Он не только писал код но и разрабатывал его.,черт знает что; Управление персоналом; Читальный зал; "
"В сегодняшнем обзоре мы рассмотрим как муравьи ведут работу в небольшом лесу а также рассмотрим почему у человека 86 миллиардов нейронов а у коммивояжёра — всего 500 тысяч.,муравьи; алгоритм; задача коммивояжëра; оптимизация; муравьиный алгоритм; поиск пути; планирование; Алгоритмы; Математика; Читальный зал; Научно-популярное; Биология; "
"В сегодняшнем обзоре я расскажу о важности маркировки для успешной продажи товара на кассе.,Маркировка; честный знак; компьютерное зрение; распознавнаие маркировки; верификация маркировки; Алгоритмы; Промышленное программирование; Управление продажами; Читальный зал; "
"В одном из недавних интервью я рассказал о том как работал в одном из аутсорсинговых компаний. В компании в которой я работал меня уволили из-за того что у него не было опыта работы в таких компаниях.,аутсорсинг; наставничество; Читальный зал; "
"В сегодняшнем обзоре я расскажу о том почему гравитация и невесомость в невесомости не имеют отношения к физике.,невесомость; задачки на собеседованиях; задачки на сообразительность; крокодил гена; Управление персоналом; Читальный зал; Мозг; "
"В преддверии новогодних праздников мы собрали 10 документальных фильмов о технологиях играх и людях которые изменили этот мир.,фильмы; кино; документальные фильмы; технологии; Читальный зал; Научно-популярное; Биографии гиков; "
"В преддверии новогодних праздников на Дальнем Востоке произошла одна из самых громких и неоднозначных новостей за последние несколько лет. На этот раз речь идет о том как повысить точность прогнозирования погодных явлений и извержений вулканов.,землетрясения; сейсмографы; животные; биология: разнообразие живого; прогнозирование; прогнозы; барометр; гидрометцентр; Читальный зал; Научно-популярное; Биология; "
"В сегодняшнем обзоре я расскажу о технических собеседованиях и о том как набрать команду чтобы она была высокоэффективной.,собеседования; собеседования в ит; набор команды; процессы разработки; процессы в компании; Управление разработкой; Управление проектами; Управление персоналом; Читальный зал; "
"Российское здравоохранение должно быть ориентировано не на деньги а на качество и продолжительность человеческой жизни. Деньги — это не метрика а инструмент организованного самоуправления цивилизации.,экономическая справедливость; Управление сообществом; Читальный зал; "
"В преддверии новогодних праздников мы решили вспомнить старые российские игры. На этот раз – «Приключения Буратино» (1993) в котором Алиса Алиса отнимает у Буратино необходимые для прохождения монеты а Диззи весёлое яйцо с ручками и ножками стал даже неофициальным маскотом компьютеров ZX Spectrum.,Игры; Приключения Буратино; Бермудский синдром; Шторм; Читальный зал; Научно-популярное; Игры и игровые консоли; "
"В преддверии юбилейного года в блоге RUVDS мы подвели итоги года и рассказали о том что произошло в компании а также о планах на 2022 год.,медиа; Медийная реклама; Контент-маркетинг; Читальный зал; "
"Взлома RSA-PSS — одна из самых популярных криптографических уязвимостей в современном мире. Её можно было бы заметить раньше если бы она не была заблокирована в 2021 году.,инфобез; программирование; с++; читальный зал; тестирование; статический анализ; статический анализ кода; проверки; диапазоны; Информационная безопасность; Программирование; Читальный зал; "
"В Иерусалиме в 72 году н.э. была основана знаменитая крепость Масада — одна из самых защищённых мест во всей Иудее. С тех пор крепость стала символом римского восстания против иудеев которое почти подавлено Иерусалим пал Храм разрушен а сопротивление теплится лишь в нескольких очагах.,древний рим; иудея; осада; крепость; история; Читальный зал; Научно-популярное; "
"Современные игровые приставки и телевизоры становятся всё более популярными. Однако для полного погружения в процесс свежей версии тайтлов и приставки нового поколения недостаточно чтобы топовые настройки графики обеспечивал ещё и телевизор.,мвидео; эльдорадо; ИТ; группа мвидео; телевизоры; тв; Читальный зал; Производство и разработка электроники; Мониторы и ТВ; "
"В преддверии экзамена по английскому языку который состоится в феврале этого года я хочу поделиться с вами своим мнением о том как правильно изучать английский.,уровень английского; английский онлайн; образование онлайн; навыки общения; новые возможности; грамматика английского языка; изучение английского; Образование за рубежом; Читальный зал; Копирайт; Лайфхаки для гиков; Изучение языков; "
"В преддверии новогодних выходных в TalkPython состоялась встреча с Гвидо ван Россума — создателя Python Марка Шеннона план ускорения Python в 5 раз за 4 года и конечно автора подкаста.,подборка; пакеты; гвидо ван россум; подкасты; подкасты для разработчиков; Программирование; Читальный зал; "
"В преддверии подведения итоги года на Хабре я хочу поделиться с вами некоторыми интересными статьями которые задели или вдохновили меня.,хабр; хабр 2021; технотекст 2021; Читальный зал; "
"В преддверии Нового года я расскажу вам о том как я работал в компании PROD.,Читальный зал; "
"В сегодняшнем цикле статей мы рассмотрим как использовать современный Python для написания собственных программ. В этом цикле все примеры основаны на реализации простого проекта — он представляет собой функцию Python которая суммирует данные присутствующие в pandas DataFrame.,хекслет; Программирование; "
"В сегодняшнем обзоре я расскажу о том как работает индекс популярности ассемблера среди программистов.,ассемблер; статистика; Программирование; "
"В преддверии старта курса по разработке на C# мы поговорим о том как компилятор C# 10 и.NET 6 упрощают программирование как они обращаются с форматированием а также о причинах конкретных решений команды.NET.,строки; форматирование; формат; интерполяция; компилятор; оптимизация; с#; тонкости; Программирование; Компиляторы; "
"В преддверии новогодних праздников я решил написать статью о том как сделать умный дом в загородном доме или даче.,реверс-инжиниринг; умныйдом; умный дом; Программирование; Беспроводные технологии; ООП; Интернет вещей; "
"В преддверии Нового года в телеграме мы решили провести встречу с участием робототехников. Встреча проводилась в нашем ROS чате в телеграм. В программе видео с распаковки и обзора четвероного робота собаки истории про проекты роботов ответы на различные вопросы по робототехнике.,робототехника; роботы; робот собака; четвероногий робот; Программирование; Разработка робототехники; Программирование микроконтроллеров; Робототехника; Искусственный интеллект; "
"В сегодняшнем обзоре я расскажу о том как тестировать приложения с базой данных в Python 3 pytest и ORM-фреймворке SQLAlchemy.,тестирование; юнит-тестирование; база данных; Программирование; "
"В сегодняшнем материале мы поговорим о том как правильно ревью кода и как сэкономить время и деньги.,Программирование; Совершенный код; Проектирование и рефакторинг; Отладка; "
"В сегодняшнем обзоре мы рассмотрим как работает рефлексия в C++ а также рассмотрим способы ввода рефлексии в стандарт C++.,рефлексия; Программирование; "
"Российский разработчик WordPress Валя рассказала о том в чем разница между созданием сайтов на платформе WordPress и созданием плагинов для WordPress.,профессия; профессиональный рост; программирование; Программирование; "
"В сегодняшнем обзоре я расскажу о том как я узнал о программировании о том что я не хотел бы работать в IT-индустрии а также о том почему я люблю читать схожие статьи анализируя опыт других людей и подчеркивая что-то для себя. На протяжении статьи я постараюсь вставлять скриншоты моих проектов дабы хоть как то разбавить столько текста.,игра своими руками; игры; история; кликер; мобильная разработка; мобильное приложение; опыт; Программирование; Разработка мобильных приложений; Разработка игр; Дизайн игр; "
"В преддверии нового учебного года в РГПУ им. А.И. Герцена был проведен аудит внешних веб-ресурсов РГПУ. Целью аудита было выявление критических уязвимостей позволяющих получить доступ к тем или иным частям ИС.,хакер; пентест; взлом; аудит безопасности; Программирование; Хакатоны; "
"В преддверии публикации о том как я оптимизировал свой алгоритм который быстрее std::sort я попытался выяснить почему читатели сетуют на то что я не сделал два шага.,алгоритмы; сортировка; разработка; Программирование; Алгоритмы; "
"В преддверии Дня рождения знаменитого американского программиста Дональда Кнута я решил поделиться с вами одной замечательной историей из его жизни.,профессия программиста; биографии гиков; биография; Программирование; Алгоритмы; "
"Начну с того что я решил пойти на стажировку в Яндексе. За 6 часов мне пришлось решить 6 задач.,стажировка в яндексе; бекенд; Программирование; "
"В сегодняшнем обзоре я хочу поделиться самыми интересными находками по языкам программирования.,языки программирования; Программирование; Научно-популярное; "
"В сегодняшнем обзоре мы рассмотрим один из самых популярных вспомогательных shell-скриптов — Makeure. Это инструмент который может работать с файлом Makesurefile такого вида: @goal downloaded @doc downloads code archive @reached_if [[ -f code.tar.gz ]] wget.,системы сборки; Программирование; Проектирование и рефакторинг; Системы сборки; "
"В сегодняшнем обзоре я расскажу о том почему я решил погрузиться в мобильную разработку.,мобильная разработка; гибридные приложения; саморазвитие; карьера программиста; Программирование; Разработка мобильных приложений; "
"В преддверии судебного разбирательства между банком и клиентом выяснилось что неотрицательная сумма может быть и невозможна. Причиной тому может быть некорректность свёртки Stream.reduce которая нарушает контракт свёртки.,параллельные вычисления; моноид; ассоциативность; магия; Программирование; Параллельное программирование; "
"В сегодняшнем материале мы поговорим о том почему хороший программист является ленивым а не ленивым.,программирование; эффективность; эффективность работы; лень; леньдвигательпрогресса; продуктивность; Программирование; "
"В сегодняшнем уроке мы рассмотрим как сэкономить память в Java. Для этого создадим массив байт в котором будем записывать в него значения примитивных типов (boolean byte short char int float long double) объекта.,оптимизация; Программирование; "
"В сегодняшнем обзоре я расскажу о том как я научился плавать с помощью Raspberry Pi.,катера; катер; "
"В последнее время я очень много пишу о том как утихомирить стиралку. В последнее время мне часто приходится стирать в срубе.,дома; ремонт своими руками; стиральные машины; стиральная машина; деревянное домостроение; Лайфхаки для гиков; "
"Сборка робота Ballie который перемещается за счет поворачивания колес относительно груза маятника показала наилучшие результаты. На его сборку меня вдохновила снятая на Consumer Electronics Show (CES 2020) видео-демонстрация с роботом Samsung.,программирование микроконтроллеров; роботы; Разработка робототехники; Программирование микроконтроллеров; Робототехника; "
"В сегодняшнем обзоре я расскажу о том как устроен китайский конструктор лего.,игрушки; радиоуправление; самоделки; Электроника для начинающих; "
"В очередной раз я решил заняться созданием частотного преобразователя. На этот раз я решил сделать его встраиваемым.,частотный преобразователь; инвертер; управление двигателями; Программирование микроконтроллеров; Производство и разработка электроники; Электроника для начинающих; "
"В сегодняшнем обзоре мы рассмотрим устройство которое можно подарить человеку который неравнодушен к DIY-проектам и Raspberry Pi а также робототехнике.,Производство и разработка электроники; "
"В сегодняшнем обзоре мы рассмотрим проект блока программного управления который будет использоваться для работы с шаговым двигателем. Если у вас есть проект загляните на сайт JLCPCB чтобы получить скидки и купоны.,трубы; сделай сам; чпу; электроника; плоттер; Электроника для начинающих; "
